Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
313;191;Umur Basım San. ve Tic. A.Ş.;2023;4.811.922.609;302;5.102.562.099;327;316;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Kayıtlı medyanın basılması ve çoğaltılması;18;Basım Sanayi;342;www.umur.com.tr;İstanbul;Ümraniye;Dudullu OSB Mah. 2. Cad. No.5;(216) 6456200;(530) 9620970;info@umur.com.tr;34776
314;271;Batı Kipaş Kağıt San. ve Tic. A.Ş.;2023;4.791.626.840;303;4.800.008.954;344;333;-;-;-;11.931.925.881;82;78;25.580.006.404;71;66;-;-;-;-;-;-;32.517;344;339;1.005;239;227;Kahramanmaraş Ticaret ve Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.kipas.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Karaziyaret Mah. Fatih Sultan Mehmet Cad. No.1/A;(344) 2363800;-;muhasebe@batikipas.com.tr;46100
315;325;Lesaffre Turquie Mayacılık Üretim ve Ticaret A.Ş.;2023;4.782.905.551;304;4.807.850.925;343;332;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Lüleburgaz Ticaret ve Sanayi Odası;-;-;100,00;-;Gıda ürünlerinin imalatı;10;Başka Yerde Sınıflandırılmamış Gıda Maddeleri Sanayi;312;www.lesaffre.com.tr;İstanbul;Kadıköy;Sahrayıcedit Mah. Atatürk Cad. Cebesoy Sok. No.8;(216) 9395600;(530) 5004611;info.tr@lesaffre.com;-
316;237;Sarbak Metal Tic. ve San. A.Ş.;2023;4.769.600.685;305;4.787.358.429;345;334;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48.283;307;302;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.sarbak.com.tr;İstanbul;Kadıköy;Eğitim Mah. Adım Sok. Orjin İş Merkezi No.10-18 Kat.3 D.39-49 Hasanpaşa;(216) 4144535;-;muhasebe@sarbak.com.tr;34722
317;264;Qua Granite Hayal Yapı ve Ürünleri San. Tic. A.Ş.;2023;4.769.116.437;306;5.962.958.665;288;277;-;-;-;6.464.279.242;149;141;-;-;-;-;-;-;-;-;-;26.698;361;355;205;472;459;Aydın Sanayi Odası;-;67,65;-;32,35;Diğer metalik olmayan mineral ürünlerin imalatı;23;Çanak, Çömlek, Çini, Porselen Sanayi;361;www.qua.com.tr;Aydın;Efeler;Cumhuriyet Mah. 1955 Sok. No.1 K.3 D.11;(850) 8880708;-;info@qua.com.tr;09020
318;319;Maxion Jantaş Jant San. ve Tic. A.Ş.;2023;4.762.404.592;307;4.875.662.037;339;328;-;-;-;1.155.233.703;426;413;1.997.124.315;476;463;-;-;-;-;-;-;110.752;195;192;529;361;348;Manisa Ticaret ve Sanayi Odası;-;40,00;60,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.maxionwheels.com;Manisa;Yunusemre;Organize Sanayi Bölgesi Gaziler Cad. No.8;(236) 2262111;(236) 2262098;info-jantas@maxionwheels.com;45030
319;342;Akyem Adana Yem Yağ Biodizel Tarım ve San. Tic. A.Ş.;2023;4.743.393.265;308;4.743.393.265;348;337;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Adana Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.beyzapilic.com.tr;Adana;Seyhan;Zeytinli Mah. Turhan Cemal Beriker Bulvarı No.830/A;(322) 4410723;(322) 4410724;beyzayem@beyza.net;01355
320;334;Durmazlar Makina San. ve Tic. A.Ş.;2023;4.742.574.314;309;5.303.665.958;313;302;-;-;-;4.608.103.345;199;188;6.808.378.107;267;256;-;-;-;-;-;-;87.626;226;223;-;-;-;Bursa Ticaret ve Sanayi Odası;-;100,00;-;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.durmazlar.com.tr;Bursa;Nilüfer;Işıktepe OSB Mah. 75. Yıl Bulvarı No.4;(224) 2191800;-;durma@durmazlar.com.tr;16140
321;414;Atabay Kimya San. ve Tic. A.Ş.;2023;4.731.844.107;310;4.765.958.960;347;336;1.932.706.780;193;183;9.081.502.756;112;106;9.874.739.864;187;179;1.388.069.493;118;112;1.624.448.966;159;154;15.912;402;396;662;323;310;İstanbul Sanayi Odası;-;100,00;-;-;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21;Diğer Kimyasal Ürünler Sanayi;352;www.atabay.com;Kocaeli;Gebze;Dilovası OSB Mah. 4.Kısım Sakarya Cad. No.28 ;(216) 3266965;-;info@atabay.com;-
322;303;Elba Basınçlı Döküm Sanayii A.Ş.;2023;4.703.686.556;311;4.703.686.556;352;341;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103.264;209;206;841;275;262;Manisa Ticaret ve Sanayi Odası;-;100,00;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.elba.com.tr;Manisa;Yunusemre;Organize Sanayi Bölgesi 50. Yıl Cad. No.15;(236) 2330600;(236) 2330601;info@elba.com.tr;45030
323;417;Cevher Jant Sanayii A.Ş.;2023;4.690.904.026;312;4.703.204.850;353;342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;-;100,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.cevher.com;İzmir;Gaziemir;Ege Serbest Bölgesi Akçay Cad. Kürşat Sok. No.10 ;(232) 2982000;(232) 2982098;info@cevherwheels.com;35411
324;452;Erciyas Çelik Boru Sanayi A.Ş.;2023;4.683.209.699;313;7.433.533.481;226;215;-;-;-;2.927.486.829;288;275;8.636.330.124;219;209;-;-;-;-;-;-;208.791;101;98;465;386;373;Düzce Ticaret ve Sanayi Odası;-;78,90;-;21,10;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.erciyas.com;İstanbul;Ataşehir;Barbaros Mah. Halk Cad. Kardelen Sok. Palladium Tower No.2/1 Kat. 25-26;(216) 6636300;-;erciyas@erciyas.com;34746
325;-;-;2023;-;314;-;350;339;-;200;189;-;212;199;-;301;289;-;83;77;-;188;183;-;383;377;-;436;423;İstanbul Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;-;-;-;-;-;-;-;-
326;396;Yavuzkan Hazel Gıda San. ve Tic. Ltd. Şti.;2023;4.652.766.032;315;4.696.149.551;354;343;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;146.255;142;139;-;-;-;Giresun Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.yavuzkan.com.tr;Giresun;Merkez;Şeyhkeramettin Mah. Suat Akgün Sok. Yavuzlar Çarşısı Sitesi No.9/2;(454) 3152590;(454) 3152591;muhasebe@yavuzkan.com.tr;28000
327;356;Üniteks Tekstil Gıda San. Dış Tic. A.Ş.;2023;4.649.205.217;316;6.072.767.817;282;271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;178.353;116;113;495;373;360;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.uniteks.com.tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10039 Sok. No.26;(232) 3768600;(530) 5494919;info@uniteks.com.tr;35620
328;357;Trakya Döküm San. ve Tic. A.Ş.;2023;4.634.001.064;317;4.732.671.791;349;338;1.574.138.129;236;225;2.431.634.130;325;312;7.265.994.117;252;241;-913.356.126;464;452;1.308.948.763;204;198;59.965;283;279;1.205;196;185;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.trakyadokum.com.tr;İstanbul;Şişli;Büyükdere Cad. Soyak Binası No.38/2 Mecidiyeköy;(212) 3155240;-;info@trakyadokum.com.tr;34387
329;390;Murat Ticaret Kablo Sanayi A.Ş.;2023;4.630.076.904;318;4.727.656.527;351;340;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125.750;171;168;4.151;43;39;İstanbul Sanayi Odası;-;-;100,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.muratticaret.com;İstanbul;Bahçelievler;Belediye Sanayi Sitesi A Blok Kocasinan;(212) 5035470;-;info@muratticaret.com;34510
330;309;Ofis Yem Gıda San. Tic. A.Ş.;2023;4.627.478.871;319;8.659.965.688;193;183;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;84,44;-;15,56;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.ofisyem.com.tr;Ankara;Çubuk;Sünlü Mah. Yayla 2 Sok. No.1B;(312) 8370622;-;ofisyem@ofisyem.com;06760
331;299;Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat San. ve Tic. A.Ş.;2023;4.621.429.838;320;5.113.531.885;324;313;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.yigitaku.com;Ankara;Sincan;Organize Sanayi Bölgesi Oğuz Cad. No.2;(312) 2670280;(312) 2670283;info@yigitaku.com;06935
332;326;Nuh'un Ankara Makarnası San. ve Tic. A.Ş.;2023;4.600.273.281;321;4.600.273.281;358;347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.nuh.com.tr;Ankara;Sincan;1. Organize Sanayi Bölgesi Altınordu Cad. No.1 ;(312) 3412100;(312) 2671520;nuh@nuh.com.tr;06935
333;-;-;2023;-;322;-;331;320;-;328;316;-;382;369;-;356;343;-;367;357;-;260;253;-;154;151;-;426;413;İstanbul Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;-;-;-;-;-;-;-;-
334;364;Aşkale Çimento Sanayi T.A.Ş.;2023;4.599.670.153;323;4.858.824.331;340;329;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Erzurum Ticaret ve Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.askalecimento.com.tr;Erzurum;Aşkale;Yeşilova Mah. Trabzon Yolu 3.km ;(442) 4151054;-;info@askalecimento.com.tr;25509
335;210;Sıddık Kardeşler Haddecilik San. Tic. Ltd. Şti.;2023;4.584.068.804;324;4.818.722.461;342;331;482.022.298;444;431;3.345.251.018;259;246;4.427.958.935;358;345;28.948.535;389;378;219.337.723;464;452;-;-;-;400;409;396;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.siddikkardesler.com;İstanbul;Kadıköy;Ankara Asfaltı 105 Evler Halk Sok. No.56/11 Kozyatağı;(216) 3591072;(216) 3588344;merkez@siddikkardesler.com;34742
336;458;Hitachi Astemo Turkey Otomotiv A.Ş.;2023;4.567.301.309;325;4.615.662.556;356;345;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Bursa Ticaret ve Sanayi Odası;-;-;100,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.chassisbrakes.com;Bursa;Osmangazi;Demirtaş Dumlupınar OSB Mah. İstanbul Cad. No.612;(224) 2706811;(224) 2706810;financetr@chassisbrakes.com;16110
337;416;Kaanlar Gıda San. ve Tic. A.Ş.;2023;4.534.577.458;326;4.592.903.546;359;348;739.728.994;396;383;1.959.648.409;364;351;3.879.364.996;387;374;527.251.164;234;226;385.818.660;422;411;2.763;443;436;707;309;296;İstanbul Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.kaanlar.com.tr;İstanbul;Bayrampaşa;Kocatepe Mah. Gümrük İskelesi Cad. No:26/E;(212) 4370090;(212) 4370090;muhasebe@kaanlar.com.tr;34045
338;365;Tat Gıda Sanayi A.Ş.;2023;4.494.160.919;327;4.967.527.539;335;324;-;-;-;2.588.164.889;313;300;-;-;-;-;-;-;846.143.816;297;288;66.737;268;264;980;244;231;İstanbul Sanayi Odası;-;53,34;5,26;41,40;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.tatgida.com;İstanbul;Çekmeköy;Taşdelen Mah. Sırrı Çelik Bulvarı No.7;(216) 4300000;(537) 2809025;tatkon@tat.com.tr;34788
339;360;Kalde Klima Orta Basınç Fittings ve Valf Sanayi A.Ş.;2023;4.484.512.294;328;4.903.422.853;337;326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Kauçuk ve plastik ürünlerin imalatı;22;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356;www.kalde.com;İstanbul;Beylikdüzü;Adnan Kahveci Mah. Büyükdere Cad. No.20;(212) 8764343;(212) 8764344;muhasebe@kaldeclub.com;34528
340;381;Sun Tekstil San. ve Tic. A.Ş.;2023;4.464.340.162;329;4.557.836.452;361;350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;79,29;-;20,71;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.suntekstil.com.tr;İzmir;Torbalı;7 Eylül Mah. Celal Umur Cad. No.6/A;(232) 8506060;(232) 8506000;info@suntekstil.com.tr;35860
341;392;Tayeks Dış Ticaret ve Tekstil Sanayi A.Ş.;2023;4.456.270.916;330;4.646.873.352;355;344;-;-;-;-;-;-;2.670.595.323;445;432;-;-;-;-;-;-;-;-;-;3.098;67;59;İstanbul Sanayi Odası;-;100,00;-;-;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.tayeks.com.tr;İstanbul;Büyükçekmece;Cumhuriyet Mah. Eski Hadımköy Yolu İnciler Cihan Sanayi Sitesi C Blok Kat 2;(212) 8661300;(212) 8661300;info@tayeks.com.tr;34520
342;387;Sayınlar Gıda Maddeleri San. ve Tic. A.Ş.;2023;4.422.316.793;331;4.832.969.156;341;330;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;117.424;186;183;-;-;-;Gaziantep Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.sayinlar.com.tr;Gaziantep;Şehitkamil;3. Organize Sanayi Bölgesi M.Batallı Bulvarı No:3 ;(342) 5130306;-;sayinlar@sayinlar.com.tr;-
343;423;Tadım Gıda Maddeleri San. ve Tic. A.Ş.;2023;4.379.508.904;332;5.051.039.285;330;319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.tadim.com;Kocaeli;Çayırova;Gebze Organize Sanayi Bölgesi 1100 Sok. No.1105;(262) 6727200;-;info@tadim.com;41420
344;301;Çınar Boru Profil San. ve Tic. A.Ş.;2023;4.373.348.964;333;4.591.839.842;360;349;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kdz. Ereğli Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.cinarboru.com;Zonguldak;Ereğli;Hamzafakılı Mah. Çınar Sok. No.1;(372) 3233320;-;muhasebe@cinarboru.com;67300
345;448;Polifarma İlaç San. ve Tic. A.Ş.;2023;4.365.453.393;334;4.469.372.797;369;358;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21;Diğer Kimyasal Ürünler Sanayi;352;www.polifarma.com.tr;İstanbul;Küçükçekmece;Halkalı Merkez Mah. Basın Ekspres Cad. No.9 Kat 6 ;(212) 4810013;(533) 2817984;info@polifarma.com.tr;34303
346;404;Tirsan Kardan San. ve Tic. A.Ş.;2023;4.364.875.786;335;4.778.368.881;346;335;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106.855;203;200;-;-;-;Manisa Ticaret ve Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.tiryakiler.com.tr;Manisa;Yunusemre;Keçiliköy OSB Mah. Ahmet Nazif Zorlu Bulvarı No.31 IV.Kısım;(236) 2330596;-;info@tirsankardan.com.tr;45030
347;242;Bien Yapı Ürünleri Sanayi Turizm ve Ticaret A.Ş.;2023;4.352.007.289;336;6.001.354.531;285;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30.099;354;349;229;468;455;Ankara Sanayi Odası;-;79,97;-;20,03;Diğer metalik olmayan mineral ürünlerin imalatı;23;Çanak, Çömlek, Çini, Porselen Sanayi;361;www.bienseramik.com.tr;Ankara;Çankaya;Barbaros Mah. Billur Sok. No.1/4 Kavaklıdere;(228) 2148000;(312) 4578700;info@bienseramik.com.tr;06680
348;401;Dowaksa İleri Kompozit Malzemeler Sanayi Ltd. Şti.;2023;4.309.445.594;337;4.524.775.622;365;354;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yalova Ticaret ve Sanayi Odası;-;-;100,00;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.dowaksa.com;İstanbul;Beyoğlu;Miralay Şefik Bey Sokak Akhan No.15 Gümüşsuyu;(212) 2514500;(226) 3532160;info@dowaksa.com;34437
349;341;Er Yem Gıda Tarım Ürünleri San. ve Tic. A.Ş.;2023;4.287.428.700;338;5.362.049.231;309;298;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.odemisyem.com.tr;İzmir;Ödemiş;Emmioğlu Mah. Fakülte Cad. No.23/1;(533) 8131191;(532) 6313933;info@odemisyem.com.tr;-
350;263;Abdioğulları Plastik ve Ambalaj Sanayi A.Ş.;2023;4.285.174.374;339;5.931.212.009;289;278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89.361;222;219;1.744;130;120;Adana Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.abco.com.tr;Adana;Sarıçam;Adana Hacı Sabancı Organize Sanayi Bölgesi Sabancı Cad. No.8;(322) 3943627;(530) 2072717;info@abco.com.tr;01310
351;298;Turkuaz Polyester Reçine Kimya San. Tic. A.Ş.;2023;4.283.723.895;340;4.456.653.744;370;359;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.turkuazpolyester.com.tr;Kocaeli;Dilovası;Demirciler OSB Mah. Recep Yazıcı Cad. No.8;(262) 5021920;(543) 8180907;info@turkuazpolyester.com.tr;41480
352;-;Elif Plastik Ambalaj San. ve Tic. A.Ş.;2023;4.278.105.884;341;4.395.555.778;373;362;-;-;-;2.451.195.381;324;311;6.187.739.742;287;275;-;-;-;-;-;-;107.150;201;198;1.143;208;197;İstanbul Sanayi Odası;-;100,00;-;-;Kauçuk ve plastik ürünlerin imalatı;22;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356;www.elifplastik.com.tr;İstanbul;Esenyurt;Orhangazi Mah. 1652. Sok. No.2;(212) 6220622;(212) 6220661;esenyurt.muhasebevergi@huhtamaki.com;34538
353;398;Beyçelik Gestamp Şasi Otomotiv Sanayi A.Ş.;2023;4.226.774.079;342;4.889.008.702;338;327;-;-;-;2.360.874.331;329;316;5.274.143.487;316;303;-;-;-;-;-;-;34.006;341;336;1.164;205;194;Kocaeli Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.beycelikgestamp.com.tr;Kocaeli;Çayırova;TAYSAD Organize Sanayi Bölgesi 1. Cad. No.5;(262) 6733000;(262) 6733001;beycelik@beycelikgestamp.com.tr;41420
354;346;Ağır Haddecilik A.Ş.;2023;4.210.646.106;343;6.131.963.049;280;269;-;-;-;3.145.525.571;269;256;5.062.272.569;326;313;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.agirhaddecilik.com;İstanbul;Ataşehir;Barbaros Mah. Zaloğlu Cad No.1;(216) 3171391;(216) 3154930;agir@agirhaddecilik.com;34746
355;362;Öz-Ka Lastik ve Kauçuk San. Tic. A.Ş.;2023;4.195.873.014;344;4.490.147.993;367;356;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Kauçuk ve plastik ürünlerin imalatı;22;Lastik Ürünleri Sanayi;355;www.ozkalastik.com;Kocaeli;Başiskele;Mahmutpaşa Mah. Kanalyolu Cad. No.129 Kullar;(262) 3495000;-;info@ozkalastik.com;41140
356;293;Jantsa Jant San. ve Tic. A.Ş.;2023;4.177.702.083;345;4.285.095.784;382;371;1.396.524.954;259;247;3.075.102.855;274;261;4.106.427.412;375;362;744.287.514;187;180;893.448.959;281;273;112.612;191;188;1.323;180;169;Aydın Sanayi Odası;-;83,26;-;16,74;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.jantsa.com.tr;Aydın;Efeler;Umurlu Mah. Organize Sanayi Bölgesi Cad. No.59-58/1;(256) 2591125;(530) 9757334;info@jantsa.com.tr;09630
357;337;Çamsan Ordu Ağaç San. ve Tic. A.Ş.;2023;4.175.944.667;346;4.326.912.984;377;366;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;100,00;-;-;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16;Ağaç ve Mantar Ürünleri Sanayi;331;www.camsanordu.com;Ankara;Çankaya;Kızılırmak Mah. Dumlupınar Bulvarı A Blok No.9A İç Kapı No.685 (YDA Center 17. Kat);(312) 4469292;(452) 2255300;info@camsanordu.com;06510
358;352;Bifa Bisküvi ve Gıda Sanayi A.Ş.;2023;4.164.089.399;347;4.194.332.149;388;377;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Karaman Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.bifa.com.tr;Karaman;Merkez;Pirireis Mah. Recep Tayyip Erdoğan Bulvarı No.75;(338) 2132490;(542) 5770029;muhasebe@bifa.com.tr;70001
359;378;Femaş Metal San. ve Tic. A.Ş.;2023;4.158.049.183;348;4.320.488.483;379;368;1.155.604.133;304;292;5.219.674.487;184;174;8.960.250.743;211;202;630.276.164;208;201;597.307.881;375;364;174.527;119;116;1.746;128;118;Kayseri Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.ferre.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 9. Cad. No.17;(352) 3213600;(352) 3213601;muhasebe@ferre.com.tr;38070
360;-;Sunar Mısır Entegre Tesisleri San. ve Tic. A.Ş.;2023;4.157.034.028;349;4.380.387.660;374;363;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Adana Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.sunarmisir.com.tr;İstanbul;Kadıköy;Kozyatağı Mah. Çardak Sok. Herti Plaza Apt. No:1/3;(216) 3603899;(322) 4410165;info@sunarmisir.com.tr;34744
361;288;ANKUTSAN Antalya Kutu Sanayi Oluklu Mukavva Kağıt Ticaret A.Ş.;2023;4.144.267.369;350;4.379.996.649;375;364;1.001.592.905;339;327;3.769.243.450;238;225;8.979.039.002;208;199;85.623.823;370;360;722.531.528;337;326;50.449;301;296;1.077;221;209;Antalya Ticaret ve Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.ankutsan.com;Antalya;Döşemealtı;Organize Sanayi Bölgesi 2. Kısım 22. Cad. No.6;(242) 2497700;(242) 2497701;info@ankutsan.com;07190
362;397;Akkim Yapı Kimyasalları San. ve Tic. A.Ş.;2023;4.143.401.180;351;5.065.687.745;329;318;1.250.665.541;290;278;2.709.947.411;305;292;4.515.053.630;354;341;973.277.134;155;148;988.234.850;255;248;128.764;163;160;487;375;362;İstanbul Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.akkim.net;İstanbul;Arnavutköy;Yeşilbayır Mah. Şimşir Sok. No.22;(212) 7711371;-;info@akkim.net;34555
